Company Name,Symbol,Year,Month,Day,Closing Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
True North Commercial Real Estate Investment Trust,TNT-UN,2021,3,2,6.48,Real Estate,REIT—Office,557220000.0,16.96,N/A,1.06,0.09179999999999999,1.8187,16.466019417475728
Golden Minerals Company,AUMN,2021,3,2,0.99,Basic Materials,Other Precious Metals & Mining,162530000.0,N/A,N/A,13.03,N/A,0.0,N/A
Zenabis Global Inc.,ZENA,2021,3,2,0.125,Healthcare,Drug Manufacturers—Specialty & Generic,100490000.0,N/A,N/A,0.9,N/A,0.0,N/A
Core Canadian Dividend Trust,CDD-UN,2021,3,1,4.94,Financial Services,Asset Management,1890000.0,N/A,N/A,N/A,0.0604,N/A,N/A
Bonterra Energy Corp.,BNE,2021,3,2,3.36,Energy,Oil & Gas E&P,112190000.0,N/A,N/A,0.54,N/A,N/A,N/A
Colliers International Group Inc.,CIGI,2021,3,2,131.43,Real Estate,Real Estate Services,5290000000.0,107.73,N/A,9.07,0.001,0.08199999999999999,976.1349650349653
Brookfield Business Partners L.P.,BBU-UN,2021,3,2,53.99,Industrials,Conglomerates,4269999999.9999995,N/A,N/A,4.19,0.006,N/A,N/A
Nevada Copper Corp.,NCU,2021,3,2,0.185,Basic Materials,Copper,332620000.0,N/A,N/A,0.73,N/A,0.0,N/A
Great-West Lifeco Inc.,GWO,2021,3,2,32.52,Financial Services,Insurance—Life,30180000000.0,10.25,2.44,1.42,0.0526,0.5523,13.827664829944899
Pason Systems Inc.,PSI,2021,3,2,9.53,Energy,Oil & Gas Equipment & Services,791840000.0,122.18,67.2,2.58,0.0204,6.0,308.92238337906707
Cineplex Inc.,CGX,2021,3,2,14.3,Communication Services,Entertainment,905660000.0,N/A,0.02,37.34,N/A,N/A,N/A
Noranda Income Fund,NIF-UN,2021,3,2,1.12,Basic Materials,Other Industrial Metals & Mining,55990000.0,N/A,N/A,0.27,N/A,0.0,N/A
Chemtrade Logistics Income Fund,CHE-UN,2021,3,2,7.23,Basic Materials,Specialty Chemicals,673610000.0,N/A,N/A,1.11,0.0849,N/A,N/A
Karora Resources Inc.,KRR,2021,3,2,3.12,Basic Materials,Gold,453410000.0,7.88,N/A,2.87,N/A,0.0,22.6156
Galaxy Digital Holdings Ltd.,GLXY,2021,3,2,19.15,Financial Services,Capital Markets,1750000000.0,N/A,N/A,13.26,N/A,0.0,N/A
Morguard North American Residential Real Estate Investment Trust,MRG-UN,2021,3,2,15.05,Real Estate,REIT—Residential,587250000.0,3.35,N/A,0.46,0.0467,0.1558,1.472246106811885
New Commerce Split Fund,YCM,2021,2,23,2.8,Financial Services,Asset Management,2510000.0,N/A,N/A,N/A,N/A,0.0,N/A
Tetra Bio-Pharma Inc.,TBP,2021,3,2,0.18,Healthcare,Biotechnology,52730000.0,N/A,N/A,2.25,N/A,0.0,N/A
ADF Group Inc.,DRX,2021,3,2,1.71,Industrials,Metal Fabrication,55810000.0,12.04,N/A,0.56,0.011699999999999999,0.1429,6.664426213304339
Extendicare Inc.,EXE,2021,3,2,7.23,Healthcare,Medical Care Facilities,647370000.0,12.07,N/A,5.05,0.069,1.2973,57.01917680074836
Canadian Imperial Bank of Commerce,CM,2021,3,2,119.97,Financial Services,Banks—Diversified,53730000000.0,13.12,1.1,1.41,0.0487,0.6389,17.640125870124916
TeraGo Inc.,TGO,2021,3,2,6.7,Communication Services,Telecom Services,112310000.0,N/A,-3.11,2.75,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,3,2,11.5,Financial Services,Capital Markets,81680000.0,N/A,N/A,1.27,N/A,0.0,N/A
Yellow Pages Limited,Y,2021,3,2,12.15,Communication Services,Publishing,338120000.0,5.77,-0.41,11.54,0.036699999999999997,0.15710000000000002,64.22861001253979
Canadian Banc Corp.,BK,2021,3,2,10.3,Financial Services,Asset Management,110000000.0,N/A,N/A,1.16,0.0746,N/A,N/A
Automotive Properties Real Estate Investment Trust,APR-UN,2021,3,2,10.76,Real Estate,REIT—Specialty,405620000.0,597.78,N/A,1.1,0.0754,10.4318,611.4543425702064
Viemed Healthcare Inc.,VMD,2021,3,2,12.2,Healthcare,Medical Devices,482650000.0,16.9,N/A,6.35,N/A,0.0,107.31499999999998
Ritchie Bros. Auctioneers Incorporated,RBA,2021,3,2,66.3,Industrials,Specialty Business Services,7290000000.0,43.05,N/A,7.23,0.0169,0.5455,306.07876880715907
Invesque Inc.,IVQ-U,2021,3,2,2.5,N/A,N/A,136190000.0,N/A,N/A,N/A,N/A,N/A,N/A
Fire & Flower Holdings Corp.,FAF,2021,3,2,1.38,Healthcare,Pharmaceutical Retailers,329580000.0,N/A,N/A,92.0,N/A,0.0,N/A
Molson Coors Canada Inc.,TPX-A,2021,3,2,58.01,Consumer Defensive,Beverages—Brewers,12160000000.0,N/A,N/A,0.2,0.048799999999999996,N/A,N/A
